Rank this week,Rank last week,Player Name,Rounds,Average,Total Distance,Total Drives,Year
60,60,Rickie Fowler,84,293.2,"48,676",166,2012
61,61,Hunter Mahan,88,293.1,"48,073",164,2012
62,62,Kevin Stadler,85,292.9,"45,114",154,2012
63,63,Kevin Streelman,89,292.8,"50,945",174,2012
T64,T64,Jason Dufner,83,292.4,"47,367",162,2012
T64,T64,Sergio Garcia,57,292.4,"32,747",112,2012
T66,T66,Bill Haas,79,292.2,"45,002",154,2012
T66,T66,D.J. Trahan,73,292.2,"40,330",138,2012
T68,T68,Aaron Baddeley,73,292.0,"42,048",144,2012
T68,T68,Ricky Barnes,92,292.0,"51,393",176,2012
T68,T68,Jeff Overton,101,292.0,"56,645",194,2012
T68,T68,Andres Romero,68,292.0,"35,042",120,2012
72,72,Danny Lee,74,291.9,"38,533",132,2012
73,73,Chris Kirk,93,291.8,"51,938",178,2012
74,74,Bud Cauley,99,291.6,"57,161",196,2012
T75,T75,Stephen Gangluff,57,291.5,"29,732",102,2012
T75,T75,Pat Perez,81,291.5,"45,763",157,2012
77,77,Scott Brown,65,291.2,"34,366",118,2012
78,78,James Driscoll,83,291.1,"46,000",158,2012
79,79,John Senden,81,291.0,"45,108",155,2012
T80,T80,Trevor Immelman,76,290.9,"44,218",152,2012
T80,T80,Justin Rose,69,290.9,"39,277",135,2012
82,82,Mathew Goggin,65,290.8,"35,477",122,2012
83,83,Roberto Castro,92,290.6,"49,981",172,2012
84,84,Bill Lunde,83,290.5,"43,582",150,2012
T85,T85,Will Claxton,99,290.4,"55,182",190,2012
T85,T85,Cameron Tringale,88,290.4,"50,815",175,2012
T87,T87,Brian Harman,101,290.3,"58,632",202,2012
T87,T87,Camilo Villegas,79,290.3,"44,701",154,2012
89,89,Billy Horschel,63,290.2,"31,918",110,2012
T90,T90,Chad Campbell,84,290.1,"48,742",168,2012
T90,T90,Geoff Ogilvy,73,290.1,"41,189",142,2012
T92,T92,Ryo Ishikawa,54,290.0,"26,678",92,2012
T92,T92,Kyle Reifers,86,290.0,"47,554",164,2012
94,94,J.J. Killeen,101,289.9,"53,920",186,2012
95,95,Sangmoon Bae,81,289.8,"44,332",153,2012
T96,T96,Jonathan Byrd,69,289.5,"39,371",136,2012
T96,T96,Miguel Angel Carballo,73,289.5,"37,634",130,2012
T96,T96,Henrik Stenson,51,289.5,"27,213",94,2012
T99,T99,Tim Herron,88,289.4,"50,934",176,2012
T99,T99,Marc Leishman,84,289.4,"48,620",168,2012
101,101,Daniel Summerhays,81,289.3,"44,558",154,2012
102,102,Derek Lamely,64,289.1,"35,852",124,2012
103,103,Tom Gillis,75,289.0,"43,355",150,2012
104,104,Roland Thatcher,55,288.9,"28,312",98,2012
T105,T105,Stewart Cink,71,288.8,"38,127",132,2012
T105,T105,Brendon de Jonge,115,288.8,"63,831",221,2012
T105,T105,George McNeill,85,288.8,"46,206",160,2012
T105,T105,Rod Pampling,88,288.8,"46,210",160,2012
T105,T105,Brendan Steele,77,288.8,"42,162",146,2012
110,110,Brandt Snedeker,81,288.7,"45,035",156,2012
111,111,Webb Simpson,77,288.6,"43,872",152,2012
112,112,Blake Adams,107,288.4,"59,410",206,2012
113,113,John Huh,99,288.3,"57,075",198,2012
114,114,Matt Bettencourt,80,288.2,"41,495",144,2012
115,115,J.J. Henry,93,288.1,"48,972",170,2012
116,116,Kevin Kisner,69,287.9,"35,127",122,2012
T117,T117,Hunter Haas,69,287.6,"36,236",126,2012
T117,T117,Ryan Moore,89,287.6,"50,911",177,2012
T119,T119,Freddie Jacobson,61,287.4,"34,493",120,2012
T119,T119,Rory Sabbatini,84,287.4,"48,002",167,2012
121,121,Steve Wheatcroft,56,286.9,"28,687",100,2012
T122,T122,Ben Crane,73,286.8,"41,300",144,2012
T122,T122,Billy Mayfair,90,286.8,"49,326",172,2012
T124,T124,Robert Allenby,76,286.7,"43,294",151,2012
T124,T124,David Hearn,95,286.7,"54,465",190,2012
126,126,Chris Stroud,86,286.6,"49,013",171,2012
127,127,Jonas Blixt,72,286.3,"40,083",140,2012
128,128,Matt Kuchar,86,286.2,"46,936",164,2012
129,129,Vaughn Taylor,81,286.0,"42,904",150,2012
T130,T130,Marco Dawson,60,285.9,"30,874",108,2012
T130,T130,Dicky Pride,62,285.9,"30,880",108,2012
132,132,Russell Knox,72,285.8,"37,729",132,2012
133,133,Sung Kang,75,285.7,"40,576",142,2012
T134,T134,Richard Lee,71,285.6,"37,124",130,2012
T134,T134,Charlie Wi,86,285.6,"48,841",171,2012
T136,T136,Matt Every,80,285.5,"43,400",152,2012
T136,T136,Graeme McDowell,55,285.5,"30,552",107,2012
T138,T138,Tommy Biershenk,74,285.4,"38,819",136,2012
T138,T138,William McGirt,96,285.4,"52,226",183,2012
T138,T138,Steve Stricker,73,285.4,"39,391",138,2012
141,141,Jeff Maggert,83,285.3,"47,360",166,2012
T142,T142,Cameron Beckman,81,285.2,"43,914",154,2012
T142,T142,Bob Estes,78,285.2,"44,487",156,2012
144,144,Arjun Atwal,79,285.1,"41,623",146,2012
145,145,Ian Poulter,57,285.0,"31,345",110,2012
146,146,Y.E. Yang,64,284.9,"35,331",124,2012
147,147,Alexandre Rocha,62,284.6,"31,878",112,2012
T148,T148,Kris Blanks,65,284.5,"36,420",128,2012
T148,T148,Michael Bradley,63,284.5,"33,571",118,2012
T148,T148,"Ted Potter, Jr.",77,284.5,"41,544",146,2012
151,151,Kyle Thompson,51,284.2,"26,714",94,2012
T152,T152,D.A. Points,88,284.0,"49,704",175,2012
T152,T152,Johnson Wagner,88,284.0,"49,700",175,2012
154,154,Nathan Green,73,283.8,"36,898",130,2012
T155,T155,Stephen Ames,54,283.7,"29,501",104,2012
T155,T155,Spencer Levin,81,283.7,"44,821",158,2012
157,157,Brendon Todd,78,283.6,"39,703",140,2012
158,158,Michael Thompson,80,283.4,"45,349",160,2012
159,159,Stuart Appleby,75,283.3,"40,225",142,2012
160,160,Ken Duke,104,282.6,"56,240",199,2012
161,161,Chez Reavie,83,282.5,"46,620",165,2012
162,162,K.J. Choi,71,282.3,"39,527",140,2012
163,163,Greg Chalmers,88,282.0,"48,787",173,2012
164,164,Gary Christian,91,281.9,"47,923",170,2012
165,165,Kevin Na,80,281.5,"44,484",158,2012
T166,T166,Scott Dunlap,57,281.4,"28,698",102,2012
T166,T166,John Mallinger,74,281.4,"39,395",140,2012
168,168,Zach Johnson,95,281.1,"52,845",188,2012
169,169,Rocco Mediate,70,280.7,"35,927",128,2012
170,170,Luke Donald,63,280.1,"34,729",124,2012
171,171,Jim Furyk,85,280.0,"46,477",166,2012
172,172,Justin Leonard,79,279.4,"41,903",150,2012
173,173,Patrick Sheehan,58,279.3,"29,042",104,2012
174,174,Jason Bohn,81,279.2,"41,877",150,2012
175,175,Heath Slocum,93,278.9,"47,412",170,2012
176,176,David Mathis,83,278.1,"42,833",154,2012
177,177,Brian Gay,91,277.7,"48,328",174,2012
178,178,Bryce Molder,83,277.5,"43,838",158,2012
179,179,Brian Davis,91,277.1,"47,940",173,2012
180,180,Tim Clark,60,276.7,"32,645",118,2012
181,181,Ryuji Imada,78,276.4,"42,006",152,2012
182,182,Jerry Kelly,84,276.1,"44,174",160,2012
183,183,Mark Wilson,84,276.0,"43,062",156,2012
184,184,David Toms,60,275.5,"31,956",116,2012
185,185,Billy Hurley III,70,275.3,"36,338",132,2012
186,186,Ben Curtis,62,274.8,"31,880",116,2012
187,187,Tom Pernice Jr.,62,273.9,"31,769",116,2012
188,188,Chris DiMarco,83,273.0,"43,133",158,2012
189,189,Colt Knost,79,272.5,"41,968",154,2012
190,190,Gavin Coles,72,271.2,"35,793",132,2012
191,191,Nick O'Hern,78,268.9,"39,800",148,2012
1,1,J.B. Holmes,57,318.4,"33,751",106,2011
2,2,Bubba Watson,85,314.9,"49,747",158,2011
3,3,Dustin Johnson,72,314.2,"44,616",142,2011
4,4,Robert Garrigus,83,313.4,"52,026",166,2011
5,5,Gary Woodland,93,310.5,"57,745",186,2011
6,6,Steven Bowditch,86,308.3,"50,569",164,2011
7,7,Scott Piercy,78,305.4,"45,204",148,2011
8,8,Jhonattan Vegas,84,304.9,"48,778",160,2011
9,9,Kyle Stanley,98,304.6,"54,825",180,2011
10,10,Will Strickler,51,304.1,"28,584",94,2011
11,11,Scott Stallings,84,303.7,"47,374",156,2011
12,12,Tag Ridings,87,303.3,"49,131",162,2011
13,13,Martin Laird,77,303.0,"46,051",152,2011
14,14,Jason Day,76,302.6,"44,179",146,2011
15,15,Josh Teater,104,302.3,"59,244",196,2011
16,16,Nick Watney,80,301.9,"46,500",154,2011
17,17,Harrison Frazar,58,301.8,"35,006",116,2011
18,18,Jim Herman,69,301.7,"36,806",122,2011
19,19,Ángel Cabrera,50,301.6,"27,747",92,2011
20,20,Keegan Bradley,91,300.7,"52,319",174,2011
21,21,Troy Matteson,91,300.2,"52,230",174,2011
T22,T22,Charley Hoffman,93,299.8,"55,162",184,2011
T22,T22,Phil Mickelson,79,299.8,"46,162",154,2011
24,24,Adam Scott,60,299.7,"35,367",118,2011
T25,T25,Rickie Fowler,84,299.5,"48,520",162,2011
T25,T25,Zack Miller,86,299.5,"49,116",164,2011
T25,T25,Ryan Palmer,82,299.5,"47,915",160,2011
T28,T28,Sergio Garcia,61,299.2,"36,507",122,2011
T28,T28,Robert Karlsson,61,299.2,"35,309",118,2011
30,30,Jimmy Walker,79,298.8,"47,213",158,2011
T31,T31,Alex Prugh,82,298.6,"46,581",156,2011
T31,T31,D.J. Trahan,91,298.6,"54,349",182,2011
T33,T33,James Driscoll,71,298.5,"38,802",130,2011
